ensg_id	external_gene_name	chromosome_name	description
ENSG00000124212	PTGIS	20	prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]
ENSG00000124256	ZBP1	20	Z-DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:16176]
ENSG00000124466	LYPD3	19	LY6/PLAUR domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24880]
ENSG00000124557	BTN1A1	6	butyrophilin subfamily 1 member A1 [Source:HGNC Symbol;Acc:HGNC:1135]
ENSG00000124608	AARS2	6	alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]
ENSG00000124766	SOX4	6	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]
ENSG00000125319	HROB	17	homologous recombination factor with OB-fold [Source:HGNC Symbol;Acc:HGNC:28460]
ENSG00000125462	C1orf61	1	chromosome 1 open reading frame 61 [Source:HGNC Symbol;Acc:HGNC:30780]
ENSG00000125637	PSD4	2	pleckstrin and Sec7 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19096]
ENSG00000125657	TNFSF9	19	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]
ENSG00000125735	TNFSF14	19	TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]
ENSG00000125740	FOSB	19	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]
ENSG00000125787	GNRH2	20	gonadotropin releasing hormone 2 [Source:HGNC Symbol;Acc:HGNC:4420]
ENSG00000125804	FAM182A	20	family with sequence similarity 182 member A [Source:HGNC Symbol;Acc:HGNC:16222]
ENSG00000125879	OTOR	20	otoraplin [Source:HGNC Symbol;Acc:HGNC:8517]
ENSG00000125962	ARMCX5	X	armadillo repeat containing X-linked 5 [Source:HGNC Symbol;Acc:HGNC:25772]
ENSG00000125998	FAM83C	20	family with sequence similarity 83 member C [Source:HGNC Symbol;Acc:HGNC:16121]
ENSG00000126001	CEP250	20	centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]
ENSG00000126464	PRR12	19	proline rich 12 [Source:HGNC Symbol;Acc:HGNC:29217]
ENSG00000126583	PRKCG	19	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]
ENSG00000126775	ATG14	14	autophagy related 14 [Source:HGNC Symbol;Acc:HGNC:19962]
ENSG00000126778	SIX1	14	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]
ENSG00000127080	IPPK	9	inositol-pentakisphosphate 2-kinase [Source:HGNC Symbol;Acc:HGNC:14645]
ENSG00000127129	EDN2	1	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]
ENSG00000127191	TRAF2	9	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]
ENSG00000127311	HELB	12	DNA helicase B [Source:HGNC Symbol;Acc:HGNC:17196]
ENSG00000127318	IL22	12	interleukin 22 [Source:HGNC Symbol;Acc:HGNC:14900]
ENSG00000127423	AUNIP	1	aurora kinase A and ninein interacting protein [Source:HGNC Symbol;Acc:HGNC:28363]
ENSG00000127804	METTL16	17	methyltransferase like 16 [Source:HGNC Symbol;Acc:HGNC:28484]
ENSG00000127989	MTERF1	7	mitochondrial transcription termination factor 1 [Source:HGNC Symbol;Acc:HGNC:21463]
ENSG00000128284	APOL3	22	apolipoprotein L3 [Source:HGNC Symbol;Acc:HGNC:14868]
ENSG00000128285	MCHR1	22	melanin concentrating hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:4479]
ENSG00000128408	RIBC2	22	RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]
ENSG00000129167	TPH1	11	tryptophan hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:12008]
ENSG00000129194	SOX15	17	SRY-box transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:11196]
ENSG00000129437	KLK14	19	kallikrein related peptidase 14 [Source:HGNC Symbol;Acc:HGNC:6362]
ENSG00000129675	ARHGEF6	X	Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]
ENSG00000129680	MAP7D3	X	MAP7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25742]
ENSG00000129932	DOHH	19	deoxyhypusine hydroxylase [Source:HGNC Symbol;Acc:HGNC:28662]
ENSG00000130193	THEM6	8	thioesterase superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:29656]
ENSG00000130305	NSUN5	7	NOP2/Sun RNA methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:16385]
ENSG00000130427	EPO	7	erythropoietin [Source:HGNC Symbol;Acc:HGNC:3415]
ENSG00000130513	GDF15	19	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]
ENSG00000130518	IQCN	19	IQ motif containing N [Source:HGNC Symbol;Acc:HGNC:29350]
ENSG00000130561	SAG	2	S-antigen visual arrestin [Source:HGNC Symbol;Acc:HGNC:10521]
ENSG00000130775	THEMIS2	1	thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:HGNC:16839]
ENSG00000130783	CCDC62	12	coiled-coil domain containing 62 [Source:HGNC Symbol;Acc:HGNC:30723]
ENSG00000131203	IDO1	8	indoleamine 2,3-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:6059]
ENSG00000131379	C3orf20	3	chromosome 3 open reading frame 20 [Source:HGNC Symbol;Acc:HGNC:25320]
ENSG00000131471	AOC3	17	amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]
ENSG00000131480	AOC2	17	amine oxidase copper containing 2 [Source:HGNC Symbol;Acc:HGNC:549]
ENSG00000131482	G6PC	17	glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]
ENSG00000131746	TNS4	17	tensin 4 [Source:HGNC Symbol;Acc:HGNC:24352]
ENSG00000131885	KRT17P1	17	keratin 17 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:6428]
ENSG00000131969	ABHD12B	14	abhydrolase domain containing 12B [Source:HGNC Symbol;Acc:HGNC:19837]
ENSG00000132003	ZSWIM4	19	zinc finger SWIM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:25704]
ENSG00000132361	CLUH	17	clustered mitochondria homolog [Source:HGNC Symbol;Acc:HGNC:29094]
ENSG00000132382	MYBBP1A	17	MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]
ENSG00000132436	FIGNL1	7	fidgetin like 1 [Source:HGNC Symbol;Acc:HGNC:13286]
ENSG00000132530	XAF1	17	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]
ENSG00000132698	RAB25	1	RAB25, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18238]
ENSG00000132773	TOE1	1	target of EGR1, exonuclease [Source:HGNC Symbol;Acc:HGNC:15954]
ENSG00000132825	PPP1R3D	20	protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294]
ENSG00000132881	CPLANE2	1	ciliogenesis and planar polarity effector 2 [Source:HGNC Symbol;Acc:HGNC:28127]
ENSG00000133392	MYH11	16	myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]
ENSG00000133624	ZNF767P	7	zinc finger family member 767, pseudogene [Source:HGNC Symbol;Acc:HGNC:21884]
ENSG00000133639	BTG1	12	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]
ENSG00000134107	BHLHE40	3	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]
ENSG00000134222	PSRC1	1	proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
ENSG00000134242	PTPN22	1	protein tyrosine phosphatase non-receptor type 22 [Source:HGNC Symbol;Acc:HGNC:9652]
ENSG00000134258	VTCN1	1	V-set domain containing T cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873]
ENSG00000134297	PLEKHA8P1	12	pleckstrin homology domain containing A8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30222]
ENSG00000134317	GRHL1	2	grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]
ENSG00000134321	RSAD2	2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]
ENSG00000134489	HRH4	18	histamine receptor H4 [Source:HGNC Symbol;Acc:HGNC:17383]
ENSG00000134815	DHX34	19	DExH-box helicase 34 [Source:HGNC Symbol;Acc:HGNC:16719]
ENSG00000134817	APLNR	11	apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]
ENSG00000135114	OASL	12	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]
ENSG00000135245	HILPDA	7	hypoxia inducible lipid droplet associated [Source:HGNC Symbol;Acc:HGNC:28859]
ENSG00000135372	NAT10	11	N-acetyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:29830]
ENSG00000135392	DNAJC14	12	DnaJ heat shock protein family (Hsp40) member C14 [Source:HGNC Symbol;Acc:HGNC:24581]
ENSG00000135406	PRPH	12	peripherin [Source:HGNC Symbol;Acc:HGNC:9461]
ENSG00000135407	AVIL	12	advillin [Source:HGNC Symbol;Acc:HGNC:14188]
ENSG00000135424	ITGA7	12	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]
ENSG00000135823	STX6	1	syntaxin 6 [Source:HGNC Symbol;Acc:HGNC:11441]
ENSG00000135912	TTLL4	2	tubulin tyrosine ligase like 4 [Source:HGNC Symbol;Acc:HGNC:28976]
ENSG00000136141	LRCH1	13	leucine rich repeats and calponin homology domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20309]
ENSG00000136206	SPDYE1	7	speedy/RINGO cell cycle regulator family member E1 [Source:HGNC Symbol;Acc:HGNC:16408]
ENSG00000136244	IL6	7	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]
ENSG00000136504	KAT7	17	lysine acetyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:17016]
ENSG00000136535	TBR1	2	T-box brain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11590]
ENSG00000136807	CDK9	9	cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]
ENSG00000136870	ZNF189	9	zinc finger protein 189 [Source:HGNC Symbol;Acc:HGNC:12980]
ENSG00000136881	BAAT	9	bile acid-CoA:amino acid N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:932]
ENSG00000137135	ARHGEF39	9	Rho guanine nucleotide exchange factor 39 [Source:HGNC Symbol;Acc:HGNC:25909]
ENSG00000137269	LRRC1	6	leucine rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14307]
ENSG00000137270	GCM1	6	glial cells missing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:4197]
ENSG00000137331	IER3	6	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
ENSG00000137404	NRM	6	nurim [Source:HGNC Symbol;Acc:HGNC:8003]
ENSG00000137460	FHDC1	4	FH2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29363]
ENSG00000137497	NUMA1	11	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]
ENSG00000137504	CREBZF	11	CREB/ATF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:24905]
ENSG00000137656	BUD13	11	BUD13 homolog [Source:HGNC Symbol;Acc:HGNC:28199]
ENSG00000137672	TRPC6	11	transient receptor potential cation channel subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:12338]
ENSG00000137731	FXYD2	11	FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]
ENSG00000137745	MMP13	11	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]
ENSG00000137802	MAPKBP1	15	mitogen-activated protein kinase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29536]
ENSG00000137812	KNL1	15	kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]
ENSG00000137843	PAK6	15	p21 (RAC1) activated kinase 6 [Source:HGNC Symbol;Acc:HGNC:16061]
ENSG00000137843	PAK6	15	p21 (RAC1) activated kinase 6 [Source:HGNC Symbol;Acc:HGNC:16061]
ENSG00000137875	BCL2L10	15	BCL2 like 10 [Source:HGNC Symbol;Acc:HGNC:993]
ENSG00000137947	GTF2B	1	general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]
ENSG00000138002	IFT172	2	intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]
ENSG00000138050	THUMPD2	2	THUMP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14890]
ENSG00000138115	CYP2C8	10	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]
ENSG00000138182	KIF20B	10	kinesin family member 20B [Source:HGNC Symbol;Acc:HGNC:7212]
ENSG00000138311	ZNF365	10	zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]
ENSG00000138435	CHRNA1	2	cholinergic receptor nicotinic alpha 1 subunit [Source:HGNC Symbol;Acc:HGNC:1955]
ENSG00000138767	CNOT6L	4	CCR4-NOT transcription complex subunit 6 like [Source:HGNC Symbol;Acc:HGNC:18042]
ENSG00000138778	CENPE	4	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]
ENSG00000138829	FBN2	5	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]
ENSG00000139131	YARS2	12	tyrosyl-tRNA synthetase 2 [Source:HGNC Symbol;Acc:HGNC:24249]
ENSG00000139154	AEBP2	12	AE binding protein 2 [Source:HGNC Symbol;Acc:HGNC:24051]
ENSG00000139209	SLC38A4	12	solute carrier family 38 member 4 [Source:HGNC Symbol;Acc:HGNC:14679]
ENSG00000139219	COL2A1	12	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]
ENSG00000139263	LRIG3	12	leucine rich repeats and immunoglobulin like domains 3 [Source:HGNC Symbol;Acc:HGNC:30991]
ENSG00000139318	DUSP6	12	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]
ENSG00000139572	GPR84	12	G protein-coupled receptor 84 [Source:HGNC Symbol;Acc:HGNC:4535]
ENSG00000139597	N4BP2L1	13	NEDD4 binding protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:25037]
ENSG00000139618	BRCA2	13	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]
ENSG00000139626	ITGB7	12	integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]
ENSG00000139645	ANKRD52	12	ankyrin repeat domain 52 [Source:HGNC Symbol;Acc:HGNC:26614]
ENSG00000139651	ZNF740	12	zinc finger protein 740 [Source:HGNC Symbol;Acc:HGNC:27465]
ENSG00000139668	WDFY2	13	WD repeat and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20482]
ENSG00000139746	RBM26	13	RNA binding motif protein 26 [Source:HGNC Symbol;Acc:HGNC:20327]
ENSG00000139890	REM2	14	RRAD and GEM like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:20248]
ENSG00000140259	MFAP1	15	microfibril associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7032]
ENSG00000140285	FGF7	15	fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]
ENSG00000140287	HDC	15	histidine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4855]
ENSG00000140326	CDAN1	15	codanin 1 [Source:HGNC Symbol;Acc:HGNC:1713]
ENSG00000140406	TLNRD1	15	talin rod domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13519]
ENSG00000140465	CYP1A1	15	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]
ENSG00000140471	LINS1	15	lines homolog 1 [Source:HGNC Symbol;Acc:HGNC:30922]
ENSG00000140932	CMTM2	16	CKLF like MARVEL transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19173]
ENSG00000140950	MEAK7	16	MTOR associated protein, eak-7 homolog [Source:HGNC Symbol;Acc:HGNC:29325]
ENSG00000141040	ZNF287	17	zinc finger protein 287 [Source:HGNC Symbol;Acc:HGNC:13502]
ENSG00000141384	TAF4B	18	TATA-box binding protein associated factor 4b [Source:HGNC Symbol;Acc:HGNC:11538]
ENSG00000141505	ASGR1	17	asialoglycoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:742]
ENSG00000141540	TTYH2	17	tweety family member 2 [Source:HGNC Symbol;Acc:HGNC:13877]
ENSG00000141682	PMAIP1	18	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]
ENSG00000142224	IL19	1	interleukin 19 [Source:HGNC Symbol;Acc:HGNC:5990]
ENSG00000142319	SLC6A3	5	solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]
ENSG00000142583	SLC2A5	1	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]
ENSG00000142632	ARHGEF19	1	Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604]
ENSG00000142871	CCN1	1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]
ENSG00000143067	ZNF697	1	zinc finger protein 697 [Source:HGNC Symbol;Acc:HGNC:32034]
ENSG00000143079	CTTNBP2NL	1	CTTNBP2 N-terminal like [Source:HGNC Symbol;Acc:HGNC:25330]
ENSG00000143093	STRIP1	1	striatin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25916]
ENSG00000143107	FNDC7	1	fibronectin type III domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26668]
ENSG00000143110	C1orf162	1	chromosome 1 open reading frame 162 [Source:HGNC Symbol;Acc:HGNC:28344]
ENSG00000143278	F13B	1	coagulation factor XIII B chain [Source:HGNC Symbol;Acc:HGNC:3534]
ENSG00000143320	CRABP2	1	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]
ENSG00000143552	NUP210L	1	nucleoporin 210 like [Source:HGNC Symbol;Acc:HGNC:29915]
ENSG00000143556	S100A7	1	S100 calcium binding protein A7 [Source:HGNC Symbol;Acc:HGNC:10497]
ENSG00000143632	ACTA1	1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]
ENSG00000143816	WNT9A	1	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]
ENSG00000143847	PPFIA4	1	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]
ENSG00000143970	ASXL2	2	ASXL transcriptional regulator 2 [Source:HGNC Symbol;Acc:HGNC:23805]
ENSG00000143971	ETAA1	2	ETAA1 activator of ATR kinase [Source:HGNC Symbol;Acc:HGNC:24648]
ENSG00000144036	EXOC6B	2	exocyst complex component 6B [Source:HGNC Symbol;Acc:HGNC:17085]
ENSG00000144045	DQX1	2	DEAQ-box RNA dependent ATPase 1 [Source:HGNC Symbol;Acc:HGNC:20410]
ENSG00000144120	TMEM177	2	transmembrane protein 177 [Source:HGNC Symbol;Acc:HGNC:28143]
ENSG00000144354	CDCA7	2	cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]
ENSG00000144357	UBR3	2	ubiquitin protein ligase E3 component n-recognin 3 [Source:HGNC Symbol;Acc:HGNC:30467]
ENSG00000144550	CPNE9	3	copine family member 9 [Source:HGNC Symbol;Acc:HGNC:24336]
ENSG00000144655	CSRNP1	3	cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]
ENSG00000144749	LRIG1	3	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]
ENSG00000144834	TAGLN3	3	transgelin 3 [Source:HGNC Symbol;Acc:HGNC:29868]
ENSG00000145241	CENPC	4	centromere protein C [Source:HGNC Symbol;Acc:HGNC:1854]
ENSG00000145244	CORIN	4	corin, serine peptidase [Source:HGNC Symbol;Acc:HGNC:19012]
ENSG00000145414	NAF1	4	nuclear assembly factor 1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:25126]
ENSG00000145721	LIX1	5	limb and CNS expressed 1 [Source:HGNC Symbol;Acc:HGNC:18581]
ENSG00000146112	PPP1R18	6	protein phosphatase 1 regulatory subunit 18 [Source:HGNC Symbol;Acc:HGNC:29413]
ENSG00000146112	PPP1R18	6	protein phosphatase 1 regulatory subunit 18 [Source:HGNC Symbol;Acc:HGNC:29413]
ENSG00000146426	TIAM2	6	TIAM Rac1 associated GEF 2 [Source:HGNC Symbol;Acc:HGNC:11806]
ENSG00000146826	MAP11	7	microtubule associated protein 11 [Source:HGNC Symbol;Acc:HGNC:25604]
ENSG00000146830	GIGYF1	7	GRB10 interacting GYF protein 1 [Source:HGNC Symbol;Acc:HGNC:9126]
ENSG00000146833	TRIM4	7	tripartite motif containing 4 [Source:HGNC Symbol;Acc:HGNC:16275]
ENSG00000146834	MEPCE	7	methylphosphate capping enzyme [Source:HGNC Symbol;Acc:HGNC:20247]
ENSG00000146909	NOM1	7	nucleolar protein with MIF4G domain 1 [Source:HGNC Symbol;Acc:HGNC:13244]
ENSG00000147144	CCDC120	X	coiled-coil domain containing 120 [Source:HGNC Symbol;Acc:HGNC:28910]
ENSG00000147174	GCNA	X	germ cell nuclear acidic peptidase [Source:HGNC Symbol;Acc:HGNC:15805]
ENSG00000147234	FRMPD3	X	FERM and PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29382]
ENSG00000147439	BIN3	8	bridging integrator 3 [Source:HGNC Symbol;Acc:HGNC:1054]
ENSG00000147573	TRIM55	8	tripartite motif containing 55 [Source:HGNC Symbol;Acc:HGNC:14215]
ENSG00000147606	SLC26A7	8	solute carrier family 26 member 7 [Source:HGNC Symbol;Acc:HGNC:14467]
ENSG00000147655	RSPO2	8	R-spondin 2 [Source:HGNC Symbol;Acc:HGNC:28583]
ENSG00000147697	GSDMC	8	gasdermin C [Source:HGNC Symbol;Acc:HGNC:7151]
ENSG00000147873	IFNA5	9	interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]
ENSG00000148339	SLC25A25	9	solute carrier family 25 member 25 [Source:HGNC Symbol;Acc:HGNC:20663]
ENSG00000148377	IDI2	10	isopentenyl-diphosphate delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:23487]
ENSG00000148677	ANKRD1	10	ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]
ENSG00000148735	PLEKHS1	10	pleckstrin homology domain containing S1 [Source:HGNC Symbol;Acc:HGNC:26285]
ENSG00000148835	TAF5	10	TATA-box binding protein associated factor 5 [Source:HGNC Symbol;Acc:HGNC:11539]
ENSG00000149182	ARFGAP2	11	ADP ribosylation factor GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:13504]
ENSG00000149308	NPAT	11	nuclear protein, coactivator of histone transcription [Source:HGNC Symbol;Acc:HGNC:7896]
ENSG00000149781	FERMT3	11	fermitin family member 3 [Source:HGNC Symbol;Acc:HGNC:23151]
ENSG00000149798	CDC42EP2	11	CDC42 effector protein 2 [Source:HGNC Symbol;Acc:HGNC:16263]
ENSG00000150990	DHX37	12	DEAH-box helicase 37 [Source:HGNC Symbol;Acc:HGNC:17210]
ENSG00000151065	DCP1B	12	decapping mRNA 1B [Source:HGNC Symbol;Acc:HGNC:24451]
ENSG00000151360	ALLC	2	allantoicase [Source:HGNC Symbol;Acc:HGNC:17377]
ENSG00000151458	ANKRD50	4	ankyrin repeat domain 50 [Source:HGNC Symbol;Acc:HGNC:29223]
ENSG00000151631	AKR1C6P	10	aldo-keto reductase family 1 member C6, pseudogene [Source:HGNC Symbol;Acc:HGNC:44680]
ENSG00000151715	TMEM45B	11	transmembrane protein 45B [Source:HGNC Symbol;Acc:HGNC:25194]
ENSG00000152104	PTPN14	1	protein tyrosine phosphatase non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647]
ENSG00000152133	GPATCH11	2	G-patch domain containing 11 [Source:HGNC Symbol;Acc:HGNC:26768]
ENSG00000152503	TRIM36	5	tripartite motif containing 36 [Source:HGNC Symbol;Acc:HGNC:16280]
ENSG00000153187	HNRNPU	1	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]
ENSG00000154781	CCDC174	3	coiled-coil domain containing 174 [Source:HGNC Symbol;Acc:HGNC:28033]
ENSG00000155090	KLF10	8	Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]
ENSG00000155100	OTUD6B	8	OTU deubiquitinase 6B [Source:HGNC Symbol;Acc:HGNC:24281]
ENSG00000155256	ZFYVE27	10	zinc finger FYVE-type containing 27 [Source:HGNC Symbol;Acc:HGNC:26559]
ENSG00000155666	KDM8	16	lysine demethylase 8 [Source:HGNC Symbol;Acc:HGNC:25840]
ENSG00000155760	FZD7	2	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]
ENSG00000155858	LSM11	5	LSM11, U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:30860]
ENSG00000155918	RAET1L	6	retinoic acid early transcript 1L [Source:HGNC Symbol;Acc:HGNC:16798]
ENSG00000155980	KIF5A	12	kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]
ENSG00000156427	FGF18	5	fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674]
ENSG00000156463	SH3RF2	5	SH3 domain containing ring finger 2 [Source:HGNC Symbol;Acc:HGNC:26299]
ENSG00000156510	HKDC1	10	hexokinase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23302]
ENSG00000156876	SASS6	1	SAS-6 centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:25403]
ENSG00000157227	MMP14	14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]
ENSG00000157240	FZD1	7	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]
ENSG00000157350	ST3GAL2	16	ST3 beta-galactoside alpha-2,3-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10863]
ENSG00000157542	KCNJ6	21	potassium inwardly rectifying channel subfamily J member 6 [Source:HGNC Symbol;Acc:HGNC:6267]
ENSG00000157601	MX1	21	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]
ENSG00000157881	PANK4	1	pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]
ENSG00000158092	NCK1	3	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]
ENSG00000158163	DZIP1L	3	DAZ interacting zinc finger protein 1 like [Source:HGNC Symbol;Acc:HGNC:26551]
ENSG00000158517	NCF1	7	neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]
ENSG00000159164	SV2A	1	synaptic vesicle glycoprotein 2A [Source:HGNC Symbol;Acc:HGNC:20566]
ENSG00000159251	ACTC1	15	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]
ENSG00000159625	DRC7	16	dynein regulatory complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:25289]
ENSG00000159753	CARMIL2	16	capping protein regulator and myosin 1 linker 2 [Source:HGNC Symbol;Acc:HGNC:27089]
ENSG00000159899	NPR2	9	natriuretic peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:7944]
ENSG00000160199	PKNOX1	21	PBX/knotted 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9022]
ENSG00000160214	RRP1	21	ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:HGNC:18785]
